year;month;day;hour;day_week;date_id
2022;1;31;15;2;215
2022;1;31;20;2;216
2022;2;1;8;3;217
2022;2;1;9;3;218
2022;2;1;10;3;219
2022;2;1;11;3;220
2022;2;1;12;3;221
2022;2;1;13;3;222
2022;2;1;14;3;223
2022;2;1;16;3;224
2022;2;1;18;3;225
2022;2;1;19;3;226
2022;2;1;21;3;227
2022;2;2;0;4;228
2022;2;2;7;4;229
2022;2;2;8;4;230
2022;2;2;9;4;231
2022;2;2;10;4;232
2022;2;2;11;4;233
2022;2;2;14;4;234
2022;2;2;15;4;235
2022;2;2;16;4;236
2022;2;2;19;4;237
2022;2;2;21;4;238
2022;2;3;0;5;239
2022;2;3;6;5;240
2022;2;3;7;5;241
2022;2;3;8;5;242
2022;2;3;9;5;243
2022;2;3;10;5;244
2022;2;3;11;5;245
2022;2;3;12;5;246
2022;2;3;13;5;247
2022;2;3;14;5;248
2022;2;3;15;5;249
2022;2;3;16;5;250
2022;2;3;17;5;251
2022;2;3;18;5;252
2022;2;3;19;5;253
2022;2;3;20;5;254
2022;2;4;6;6;255
2022;2;4;7;6;256
2022;2;4;8;6;257
2022;2;4;9;6;258
2022;2;4;10;6;259
2022;2;4;12;6;260
2022;2;4;13;6;261
2022;2;4;14;6;262
2022;2;4;15;6;263
2022;2;4;16;6;264
2022;2;4;18;6;265
2022;2;6;3;1;266
2022;2;7;4;2;267
2022;2;7;6;2;268
2022;2;7;7;2;269
2022;2;7;8;2;270
2022;2;7;9;2;271
2022;2;7;10;2;272
2022;2;7;11;2;273
2022;2;7;13;2;274
2022;2;7;14;2;275
2022;2;7;16;2;276
2022;2;8;6;3;277
2022;2;8;7;3;278
2022;2;8;8;3;279
2022;2;8;9;3;280
2022;2;8;10;3;281
2022;2;8;11;3;282
2022;2;8;13;3;283
2022;2;8;14;3;284
2022;2;8;15;3;285
2022;2;8;16;3;286
2022;2;8;23;3;287
2022;2;9;6;4;288
2022;2;9;7;4;289
2022;2;9;8;4;290
2022;2;9;9;4;291
2022;2;9;10;4;292
2022;2;9;12;4;293
2022;2;9;13;4;294
2022;2;9;14;4;295
2022;2;9;17;4;296
2022;2;9;19;4;297
2022;2;9;20;4;298
2022;2;10;1;5;299
2022;2;10;4;5;300
2022;2;10;5;5;301
2022;2;10;6;5;302
2022;2;10;7;5;303
2022;2;10;8;5;304
2022;2;10;9;5;305
2022;2;10;10;5;306
2022;2;10;13;5;307
2022;2;10;14;5;308
2022;2;10;16;5;309
2022;2;10;19;5;310
2022;2;10;20;5;311
2022;2;11;0;6;312
2022;2;11;4;6;313
2022;2;11;5;6;314
2022;2;11;7;6;315
2022;2;11;8;6;316
2022;2;11;9;6;317
2022;2;11;10;6;318
2022;2;11;12;6;319
2022;2;11;13;6;320
2022;2;11;14;6;321
2022;2;11;17;6;322
2022;2;12;9;7;323
2022;2;14;0;2;324
2022;2;14;2;2;325
2022;2;14;8;2;326
